1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
2,0,4,5,0,9,3,7,0,2,2,0,1,5,13,3,6,0,15,2,0,2
2,3,7,0,0,2,4,0,1,0,4,6,2,1,0,0,2,1,4,1,1,1
2,1,0,3,2,0,2,4,1,0,2,0,22,0,1,0,0,2,6,3,0,0
0,1,0,0,8,0,0,0,0,1,2,2,2,0,0,4,23,5,2,1,1,0
0,4,0,1,1,0,3,5,2,4,4,0,2,2,0,0,0,2,3,0,2,1
1,0,0,1,5,1,2,8,7,0,0,3,2,7,2,0,2,2,0,8,5,0
2,1,2,3,67,0,0,1,1,13,0,1,0,0,20,0,1,4,2,2,3,1
0,2,0,5,2,2,0,0,3,0,2,2,3,3,1,0,1,0,0,4,0,6
0,0,4,4,3,1,0,2,2,1,1,0,2,0,1,0,3,19,0,1,1,0
0,7,4,2,3,1,1,1,1,1,2,4,1,0,2,2,2,1,12,0,1,4
5,0,0,0,3,0,2,1,25,0,1,1,0,13,3,2,9,0,1,1,1,2
0,4,0,0,0,0,1,21,3,1,3,8,4,3,2,2,1,0,3,2,0,0
8,0,3,0,0,2,5,5,0,7,1,2,1,0,1,1,0,0,2,0,12,2
1,1,7,7,0,1,0,3,0,0,2,3,5,5,4,0,3,2,3,2,10,0
0,0,3,1,5,1,1,4,11,7,0,1,1,3,1,0,2,2,1,0,3,0
7,1,1,3,1,0,0,6,0,4,1,3,7,3,0,0,3,2,0,0,3,0
2,0,12,0,0,3,2,3,1,4,5,0,1,5,4,0,1,0,0,1,0,3
2,2,3,29,1,0,0,1,1,1,9,0,6,3,5,4,1,1,1,0,5,0
4,10,3,2,0,2,0,7,0,0,30,1,4,1,1,1,0,2,19,1,3,2
1,1,3,0,0,5,1,5,41,0,8,0,2,0,1,1,4,0,259,0,3,0
9,1,2,6,0,0,14,2,0,8,1,8,0,1,1,0,0,0,1,4,5,4
0,0,0,2,3,1,2,1,0,9,13,19,1,2,1,1,2,2,2,1,1,0
5,1,0,1,1,6,4,2,0,1,1,1,2,0,1,2,4,1,0,1,7,0
2,0,0,2,8,1,9,1,1,1,1,5,0,2,1,1,1,1,12,6,0,1
0,0,0,0,8,6,0,0,4,0,21,4,1,2,0,3,8,3,0,0,0,7
0,0,4,5,0,2,0,3,0,0,2,0,1,1,16,0,0,6,0,1,2,2
9,4,0,2,2,3,7,13,0,3,1,3,1,1,2,1,1,0,0,2,2,3
0,18,1,5,1,0,0,5,5,2,0,0,3,3,0,1,0,0,3,2,0,0
0,3,2,0,1,3,0,2,2,11,0,15,4,62,1,0,1,0,2,4,0,4
0,0,3,1,0,2,0,0,18,0,2,3,1,5,0,1,0,0,1,4,146,1
0,3,2,1,6,1,2,1,0,3,3,6,0,1,0,3,6,0,1,0,1,4
1,1,10,1,2,0,6,0,4,0,0,0,6,5,0,9,4,1,1,1,0,0
4,5,2,3,0,4,0,0,1,1,8,2,1,1,2,4,0,93,1,60,0,1
0,6,2,3,0,2,1,0,1,2,1,0,1,1,2,1,4,0,0,0,1,3
2,0,8,53,1,5,0,1,0,1,0,6,0,0,2,0,1,2,0,2,0,1
1,0,1,0,0,5,11,0,3,3,0,0,0,1,3,0,0,3,0,0,6,0
0,1,3,1,8,0,0,3,1,0,10,0,8,1,5,1,4,0,1,2,0,1
0,6,1,0,1,0,1,211,2,2,2,3,1,1,0,1,0,0,1,11,2,1
0,0,1,1,0,0,0,3,0,0,0,6,8,3,3,1,2,5,0,13,3,2
18,0,22,2,3,2,0,4,1,0,1,4,3,0,1,11,0,8,0,9,5,0
