1,2,3,4,p
2,3,0,4,3
0,0,0,0,5
0,3,0,1,0
0,0,10,0,0
3,23,10,2,0
1,0,1,1,0
0,3,12,1,0
1,1,0,12,3
1,1,1,0,2
0,14,1,0,3
9,7,0,0,1
0,1,0,3,2
2,0,1,32,0
17,0,1,0,13
0,1,1,5,1
3,3,1,0,0
3,20,0,3,1
1,2,0,5,3
0,0,2,1,1
0,4,0,2,26
5,6,1,0,0
0,3,1,1,0
1,32,1,3,2
0,0,0,0,1
0,1,2,11,10
8,1,2,0,3
10,9,6,0,1
0,1,0,2,5
1,1,2,0,3
1,0,31,18,0
0,1,0,3,1
9,8,0,0,1
6,1,3,5,3
14,2,0,0,1
2,5,11,2,0
1,3,0,10,2
33,5,8,0,3
0,28,0,2,2
1,1,4,0,11
0,18,0,3,1
878,1,9,0,1
8,0,0,6,8
0,2,1,0,18
0,0,4,1,3
0,2,14,4,0
1,0,2,1,0
0,2,0,1,2
1,5,0,2,4
4,1,1,0,13
0,0,1,0,37
2,0,2,0,14
1,0,7,0,82
3,0,3,2,0
1,34,4,0,7
7,1,0,15,35
2,3,6,3,0
11,0,0,1,0
8,5,3,0,2
307,6,0,2,0
10,0,2,143,15
1,9,0,2,1
0,2,0,101,0
0,0,0,0,0
1,0,0,1,7
1,0,0,1,2
442,0,0,0,2
0,1,1,2,0
0,0,0,3,2
21,2,0,3,1
0,0,1,3,4
6,1,4,14,0
2,0,2,1,1
2,3,1,7,1
21,0,0,2,0
0,0,1,227,20
13,0,49,1,1
2,8,0,1,26
0,0,0,2,2
0,4,0,7,1
0,0,0,0,5
17,1,6,0,13
0,0,2,3,0
106,3,8,66,4
13,1,0,1,0
0,0,0,5,3
34,3,0,3,0
0,8,0,13,0
0,0,4,0,3
20,0,1,1,0
5,0,0,8,2
2,0,1,0,0
0,1,2,6,0
0,2,0,0,0
4,1,0,0,166
8,1,2,4,3
11,1,1,7,5
2,1,3,8,6
58,13,0,2,2
7,10,1,0,0
3,0,9,0,0
0,0,6,1,5
0,167,73,2,12
0,6,5,9,95
26,1,0,0,2
53,26,0,0,0
3,20,8,0,1
2,1,10,8,0
3,1,1,11,24
3,2,60,3,1
0,1,1,6,0
0,0,0,3,0
0,0,2,34,0
4,1,3,0,7
33,0,0,2,3
5,3,0,24,0
1,0,4,0,0
0,1,0,0,1
5,0,1,0,0
3,53,37,11,0
1,0,0,0,1359
19,5,3,0,1
0,0,14,2,1
1,2,5,1,1
0,1,5,0,1
0,2,1,1,28
2,1,5,2,2
0,0,0,0,0
1,1,2,1,2
0,1,0,1,6
4,4,0,3,1
43,15,0,8,2
0,17,0,0,0
6,2,114,144,5
1,15,2,3,1
2,0,0,0,6
0,48,2,4,0
1,0,0,15,0
24,6,1,0,0
14,2,9,0,2
0,17,1,1,0
1,0,1,1,0
1,5,3,5,0
1,1,0,1,7
1,0,0,0,0
0,0,2,1,1
1,5,1,0,1
0,3,941,0,2
0,20,1,14,11
8,18,1,1,3
13,1,13,17,1
13,0,5,0,1
0,2,117,26,1
26,4,9,0,1
0,143,0,0,2
5,0,0,2,0
8,0,0,7,5
0,8,2,1,29
2,0,2,0,2
620,8,0,2,0
0,102,3,0,2
0,4,1,1,3
1,2,0,0,1
7,12,0,0,2
0,1,0,3,0
0,3,4,1,0
69,0,0,4,7
9,1,0,2,0
8,0,0,0,0
5,4,0,0,5
0,1,1,0,0
0,1,0,2,4
0,1,2,3,3
0,4,0,0,0
3,0,2,6,6
0,6,0,0,5
0,0,103,0,0
2,0,0,64,1
0,1,1,4,3
0,2,0,3,3
2,0,1,0,0
3,2,0,3,0
2,0,11,5,0
24,3,6,6,6
4,3,16,7,0
1,12,6,3,1
249,0,0,2,0
0,0,0,0,10
0,14,7,68,10
0,17,1,0,0
6,0,3,7,13
0,4,0,0,0
2,2,0,1,3
0,5,0,0,2
1,0,52,2,4
1,0,16,0,0
2,6,4,0,1
0,12,16,0,2
19,0,1,0,18
1,0,1,0,9
2,116,1,1,1
0,0,1,360,0
3,2,18,3,47
0,11,2,1,3
0,0,0,0,0
1,1,3,15,4
0,0,0,2,20
0,27,0,0,1
2,0,0,0,12
6,3,2,2,55
0,3,1,0,0
0,0,5,30,1
4,0,3,6,6
0,10,1,0,1
0,0,0,14,8
7,26,9,0,1
3,1,37,0,0
0,3,2,1,5
4,0,0,1,50
0,0,6,68,0
19,3,0,1,1
0,2,0,2,0
1,0,10,0,1
13,3,177,0,1
8,3,5,1,4
0,2,49,3,4
1,17,1,3,3
2,3,0,0,2
8,2,0,0,13
0,1,6,0,0
0,0,0,0,3
0,0,10,1,1
0,3,1,9,0
7,0,10,1,29
4,2,3,3,0
10,6,2,2,7
6,2,3,38,0
54,4,2,13,1
2,0,5,0,6
966,3,54,1,6
0,0,1,10,16
1,0,1,0,0
0,2,0,4,31
2,2,2,1,5
44,0,2,0,2
1,0,0,10,1
0,2,1,0,0
0,4,1,1,18
1,1,5,0,0
0,3,0,0,11
0,1,6,16,0
30,5,5,16,12
0,0,0,2,0
0,0,20,33,0
7,0,0,0,0
2,1,0,3,8
0,16,1,0,4
31,0,2,8,52
0,8,0,17,1
2,10,0,127,2
0,5,37,9,0
5,2,4,1,0
1,0,0,1,2
0,4,0,4,13
0,1,0,0,8
6,2,9,1,0
117,1,0,2,1
0,0,1,8,10
0,8,0,0,0
0,0,1,1,0
2,0,6,1,0
3,1,7,8,0
15,0,0,0,0
0,2,4,1,7
2,0,1,6,8
9,41,3,68,1
8,1,0,9,2
2,1,0,0,9
13,0,0,8,2
0,0,1,0,0
4,27,0,1,5
3,0,3,0,26
2,1,0,0,0
0,1,0,1,0
0,0,38,1,2
0,1,4,0,0
47,7,19,9,13
2,4,0,0,21
1,2,4,2,0
1,0,1,27,16
17,1,5,7,0
1,3,1,0,2
1,2,2,0,0
262,2,2,0,4
