1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,0,0,1,14,1,2,0,9,0,0,0,0,0,3,1,2,0,1,0,0,3
2,0,5,0,4,1,0,0,0,17,3,0,0,1,1,1,5,2,2,3,1,3
0,0,0,1,5,1,72,2,1,9,25,12,1,0,3,3,0,1,1,1,0,0
2,2,0,5,2,3,1,3,2,2,0,1,1,2,1,0,1,4,0,1,1,0
33,1,1,1,3,0,2,18,2,1,0,0,3,7,0,1,3,0,2,1,0,7
1,2,0,60,0,15,0,0,0,0,1,8,2,1,0,0,1,0,2,1,0,3
0,1,0,2,3,0,0,0,1,1,1,0,56,0,1,1,0,0,0,0,0,1
0,0,13,1,18,2,0,0,1,0,2,2,0,1,0,1,0,2,0,0,3,0
0,9,1,1,9,0,5,2,56,4,1,1,0,1,1,1,0,11,0,2,3,0
14,66,4,0,2,1,3,0,1,0,2,6,0,0,0,2,2,2,0,2,2,1
3,0,1,3,0,16,1,0,3,1,2,1,0,0,1,1,1,0,1,2,0,23
0,3,0,35,2,12,1,0,1,2,0,2,4,4,0,7,0,3,0,1,3,2
0,0,2,1,2,8,3,0,1,0,9,1,0,0,74,2,314,1,2,1,2,0
13,2,1,4,1,0,2,0,0,0,2,1,26,0,0,1,1,3,1,1,4,2
0,0,4,1,0,0,2,0,0,1,0,2,3,0,1,1,1,1,0,0,1,4
4,0,4,2,5,1,0,0,0,0,3,1,2,2,0,0,1,0,0,1,1,3
1,134,0,37,18,2,0,1,0,4,1,0,2,3,0,0,1,0,1,4,2,2
2,0,1,20,2,1,0,5,0,2,3,238,0,1,0,1,0,1,1,0,3,122
0,0,2,0,21,2,2,0,0,4,1,0,0,1,0,1,1,439,1,3,2,15
3,5,0,0,0,4,0,19,4,1,2,3,0,0,0,0,0,0,0,2,0,0
0,0,3,1,5,0,2,2,0,2,4,1,1,3,1,2,1,1,0,1,3,1579
0,1,2,0,1,0,1,1,5,0,2,2,1,0,1,2,3,2,0,2,1,0
2,2,3,0,4,1,1,0,69,9,0,0,1,0,2,0,4,1,1,2,1,2
0,2,0,10,1,2,0,5,0,0,8,0,4,0,10,4,2,2,1,1,0,0
13,27,77,2,6,3,0,1,3,0,0,10,3,2,0,1,1,2,2,1,1,0
2,20,2,2,0,1,5,1,1,1,0,4,4,1,4,0,1,1,1,1,1,1
228,3,1,0,1,13,0,0,4,17,4,0,0,0,1,4,0,1,0,1,2,2
0,2,1,0,14,0,0,5,2,29,0,0,0,160,4,0,1,1,1,0,0,12
4,0,0,0,3,2,2,0,1,13,7,0,0,1,2,4,0,1,2,1,3,2
2,0,0,1,0,7,1,0,0,5,0,2,1,1,2,1,0,0,1,0,1,0
17,2,0,2,0,0,0,3,1,2,0,4,0,2,8,0,0,2,1,0,0,7
5,0,0,0,66,0,0,1,25,6,1,1,1,1,1,0,2,1,0,0,0,2
0,1,8,1,2,0,2,1,1,0,0,2,0,2,1,1,0,1,1,0,1,2
0,0,0,0,0,5,3,1,3,4,0,3,14,1,1,1,0,3,2,1,1,6
3,0,0,2,1,3,0,1,6,2,0,0,1,0,1,0,1,2,0,2,1,35
0,0,0,7,6,1,0,3,0,1,0,2,0,3,2,0,0,3,3,2,2,3
0,2,1,11,0,8,8,2,1,2,3,1,3,5,0,3,1,0,1,0,2,0
0,0,0,5,5,0,0,2,0,4,0,2,0,2,0,0,1,0,0,2,1,2
51,3,0,1,0,8,1,0,0,3,1,2,3,0,0,0,9,2,2,1,4,4
0,23,0,8,1,0,15,0,0,4,1,0,6,0,1,1,0,0,1,0,1,3
1,0,0,0,1,58,0,2,1,23,3,3,1,0,0,1,0,1,1,0,2,0
4,0,0,0,1,0,0,0,0,2,0,0,10,1,1,1,1,1,0,1,1,0
13,1,0,0,3,1,2,1,0,1,2,0,1,1,1,2,5,0,1,2,0,0
0,1,0,2,1,1,1,1,0,4,1,1,1,1,0,0,1,0,0,2,1,3
0,17,1,0,2,2,0,0,2,1,0,0,1,0,3,1,2,1,1,0,0,2
2,5,3,1,2,11,12,1,1,0,12,1,0,2,1,2,0,0,1,1,3,14
1,0,6,0,0,2,1,3,104,0,0,1,3,1,1,1,1,0,1,1,0,1
1,0,1,16,0,1,3,5,1,3,2,1,4,1,1,1,2,0,0,1,0,0
1,3,3,38,0,0,3,12,8,0,1,1,4,1,1,1,1,0,3,0,0,4
0,0,14,0,0,2,3,0,0,12,0,1,1,1,0,0,0,0,1,1,1,6
0,6,1,1,9,5,1,0,3,2,0,2,0,22,0,0,0,3,0,0,0,1
917,3,1,0,0,0,9,3,0,0,2,0,3,1,8,0,0,1,0,2,2,1
13,0,0,0,0,7,4,0,0,0,0,0,2,0,0,0,1,1,1,0,0,2
7,0,11,15,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
0,2,2,2,0,1,0,0,9,65,5,0,1,2,0,1,0,0,1,2,0,0
18,0,1,0,0,0,0,4,1,2,1,3,1,0,1,3,1,1,0,2,2,1
3,128,9,0,3,0,0,0,0,3,1,4,2,1,1,2,1,1,0,1,3,18
0,0,2,1,0,7,1,1,2,5,4,0,1,0,4,5,1,0,0,1,1,0
5,8,0,1176,11,1,2,0,8,17,1,29,0,4,0,0,1,1,1,0,0,3
0,1,0,26,0,0,2,0,0,2,1,1,0,0,0,1,0,1,2,1,0,0
3,3,6,0,5,2,0,4,0,18,2,0,3,1,1,3,0,3,1,1,0,0
0,0,0,1,0,8,1,1,2,10,1,0,1,0,1,0,2,0,0,1,0,3
2,5,1,0,2,2,0,6,4,3,1,1,2,0,0,0,0,0,2,3,0,1
0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,6,0,0,1,3,2
3,0,4,1,0,1,6,4,0,1,8,2,12,4,0,1,1,0,3,0,2,7
1,3,2,4,0,0,1,0,0,1,0,0,4,4,3,10,1,0,2,0,2,4
0,0,0,2,0,45,6,0,0,1,3,3,0,1,3,1,1,1,1,0,1,3
0,0,47,2,0,1,0,7,3,2,9,1,1,0,0,0,1,0,0,1,3,1
0,0,2,1,5,0,2,11,0,0,1,0,7,1,1,0,0,1,1,1,0,0
2,2,5,0,4,3,2,1,1,3,23,1,2,2,1,0,0,0,0,0,1,2
2,0,8,2,0,43,0,0,0,0,1,0,1,7,1,3,1,0,2,0,0,0
4,0,2,0,0,5,0,0,1,2,2,0,0,0,0,31,0,1,0,1,0,0
0,6,11,5,0,2,0,0,3,0,3,1,2,11,1,2,2,0,0,0,0,0
