1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,3,2,0,0,1,1,2,1,0,1,0,2,0,1,2,3,1,0,9,1,0,3,0,1,3,1,2,47,0,2,18
2,1,3,2,5,0,0,1,0,2,0,3,1,4,1,0,4,3,0,2,1,0,0,1,4,0,1,1,0,1,1,2
2,0,0,1,0,4,3,2,2,2,2,0,3,1,1,1,1,0,3,2,5,0,0,1,2,1,0,0,0,1,0,0
1,0,0,2,0,1,2,0,0,0,1,0,1,2,0,2,0,3,0,1,0,0,4,0,1,1,0,0,0,2,1,148
1,1,0,0,1,2,0,2,1,2,3,1,2,0,2,1,2,0,0,0,1,1,0,1,1,1,2,0,1,10,2,0
2,1,0,0,1,1,2,0,0,0,0,0,3,1,0,2,2,1,1,0,2,3,1,0,0,1,1,0,2,3,1,0
1,0,1,1,1,1,1,0,0,3,0,0,3,1,4,0,1,1,2,0,2,1,1,2,0,1,1,2,1,16,0,4
2,0,1,1,0,0,2,0,0,0,2,2,2,0,1,0,0,1,0,2,1,2,1,0,1,2,1,0,1,0,2,2
0,1,2,0,1,1,2,1,0,1,0,0,2,0,2,0,1,0,0,1,2,3,1,0,2,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,0,1,0,2,1,2,1,0,3,2,1,0,2,0,1,1,2,0,0,0,1,0,0,2
0,1,0,2,0,1,2,2,1,1,0,0,1,4,1,0,1,2,58,1,2,3,1,0,0,0,2,1,0,0,1,0
2,0,1,0,0,0,4,0,8,2,0,10,0,3,0,2,1,4,1,0,2,0,4,8,1,0,0,1,0,2,1,0
0,1,0,0,0,2,0,0,1,1,0,2,0,1,1,4,1,0,0,2,1,0,2,3,2,1,0,1,2,1,0,53
1,1,0,1,1,0,0,0,1,4,0,0,2,1,1,0,0,0,4,4,0,0,1,2,0,0,2,0,0,3,0,0
1,0,1,1,4,2,1,1,0,2,0,1,4,1,2,0,5,0,0,1,1,1,1,2,2,1,1,0,0,0,0,1
4,0,5,2,0,0,0,0,2,2,2,3,0,3,0,2,0,4,10,3,1,0,1,2,1,3,0,1,1,33,2,0
0,3,0,1,1,0,1,1,2,1,5,0,4,2,1,0,0,2,1,3,0,2,4,2,0,1,2,0,1,2,1,2
1,0,0,1,1,2,2,2,2,2,1,1,3,0,2,0,0,0,1,1,3,1,1,1,0,5,0,1,0,1,2,72
0,0,0,0,1,0,2,3,2,0,4,2,1,1,0,0,1,2,10,0,0,1,1,1,2,1,42,2,0,2,0,54
0,0,1,0,1,2,0,0,1,0,2,0,2,1,0,2,0,1,0,0,1,1,0,0,1,0,1,2,2,2,2,0
0,3,1,1,4,0,1,1,3,1,1,1,3,3,2,1,0,0,0,2,3,2,0,1,2,1,0,1,2,3,0,2
1,0,2,1,1,0,3,3,2,47,0,8,2,1,0,0,1,2,0,0,4,2,2,0,0,0,1,0,0,0,1,0
2,1,4,1,1,0,0,2,1,0,0,2,1,1,0,1,0,0,1,0,0,3,1,0,0,0,1,0,2,1,0,1
0,2,1,2,1,2,2,0,13,0,0,2,2,1,1,0,0,0,2,0,2,2,2,2,11,5,0,11,0,0,1,0
0,1,1,0,1,3,1,1,0,1,0,4,1,0,1,0,0,1,2,2,2,1,3,0,0,1,0,1,0,0,0,29
0,0,3,2,1,1,0,0,0,1,1,3,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,2,0,2,0,2
0,1,1,6,2,2,0,3,2,1,0,1,1,2,1,2,0,0,0,1,0,0,1,1,1,0,0,3,0,1,0,0
0,1,0,0,1,0,1,1,3,9,1,2,2,0,1,0,1,1,0,0,0,8,0,0,1,0,1,0,2,3,1,0
0,0,1,3,0,4,2,1,2,2,2,1,1,1,3,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,15
0,1,0,1,1,0,0,2,1,2,19,1,1,0,1,1,0,0,2,1,0,1,0,2,0,0,1,1,0,0,2,7
0,0,0,0,1,0,2,2,0,0,1,1,0,2,1,2,3,0,1,0,3,1,1,1,80,3,1,1,0,0,2,18
0,0,1,1,2,0,1,3,1,0,0,1,0,2,2,1,2,0,1,1,0,1,0,1,0,1,0,1,2,0,3,0
1,1,1,0,0,0,0,1,0,2,3,2,0,1,3,1,4,1,0,3,4,0,0,0,1,4,2,2,0,1,0,1
2,0,1,1,2,2,2,1,4,0,2,0,0,1,0,0,3,1,1,3,2,0,1,1,0,0,1,0,2,1,6,0
1,0,0,0,0,2,3,2,0,2,2,0,0,2,3,0,1,0,0,1,2,0,2,5,1,2,0,0,1,0,1,2
1,2,0,0,2,2,0,0,0,1,3,1,0,4,0,0,1,0,0,0,3,0,1,0,0,0,2,1,1,1,1,8
2,1,1,0,1,1,0,1,2,1,1,1,1,1,0,5,1,2,0,1,1,6,0,0,2,0,2,0,1,0,3,8
1,2,1,0,0,3,0,1,0,0,0,1,0,0,1,2,0,2,0,0,0,8,2,3,0,1,0,0,2,0,221,1
1,0,2,0,0,4,1,1,1,0,0,7,1,2,1,1,1,2,1,0,1,1,0,1,1,3,7,1,7,2,0,3
0,2,2,3,1,1,2,1,1,2,2,1,2,0,0,0,0,0,4,0,0,0,0,1,1,1,0,1,1,0,1,4
2,2,2,0,2,0,1,1,1,0,1,1,0,1,0,2,3,0,6,0,0,2,0,1,0,0,1,1,1,2,0,17
3,2,1,1,0,0,0,1,2,1,2,1,1,0,0,0,1,2,3,1,2,1,0,1,0,0,2,0,6,2,1,0
0,1,0,1,0,0,1,0,1,2,1,2,0,0,3,4,1,0,2,2,2,0,0,0,1,4,3,2,0,0,1,13
2,1,1,0,0,2,0,0,1,1,1,1,2,0,2,1,0,0,6,2,0,2,2,1,2,2,1,0,2,1,1,3
2,0,1,2,1,1,3,1,1,3,0,3,2,1,1,0,0,0,1,0,6,1,0,2,1,2,1,3,0,0,3,815
3,1,2,0,0,1,1,0,2,0,39,1,1,2,1,1,2,0,0,1,1,1,1,0,0,1,0,0,2,0,3,0
1,4,0,0,1,0,4,1,0,1,1,1,0,2,2,1,0,1,2,0,4,1,1,1,1,0,1,1,6,0,0,1
0,1,1,1,0,1,0,1,1,0,0,0,0,2,2,2,0,1,9,2,0,0,3,1,1,0,2,2,2,2,1,0
3,1,1,0,0,0,2,0,2,1,0,1,3,1,2,1,3,0,0,3,1,0,3,1,3,1,2,1,0,4,0,0
1,2,1,0,0,1,1,2,3,0,1,1,1,0,2,3,0,5,1,1,0,0,0,1,0,1,1,2,0,4,0,4
1,1,1,3,1,4,2,1,3,0,0,1,0,6,3,1,5,1,0,1,0,1,0,2,1,1,4,0,3,3,0,3
1,0,0,1,1,1,0,0,0,0,1,2,1,1,0,1,1,0,2,1,0,2,4,1,1,0,1,1,1,11,1,0
0,2,0,1,2,1,1,1,1,1,2,0,1,1,0,0,3,0,0,1,3,0,3,2,0,1,2,2,0,2,0,3
4,2,1,1,0,2,2,0,3,0,0,2,0,0,0,1,0,0,1,0,1,0,1,9,3,0,2,2,0,2,87,0
3,3,4,0,0,1,0,0,0,2,1,0,2,0,0,2,0,2,3,2,0,0,0,0,1,1,2,2,1,8,1,71
2,1,1,0,0,1,0,1,1,0,0,0,0,3,1,0,5,1,1,1,0,1,0,1,1,0,2,1,14,1,1,1
1,0,1,0,1,2,0,0,0,1,1,2,1,1,1,0,0,3,0,0,1,3,0,1,1,1,0,1,4,1,1,0
3,1,2,1,1,2,0,1,2,0,0,0,0,0,1,0,3,1,1,1,1,2,0,0,0,0,0,0,2,1,1,12
1,0,2,2,0,1,0,2,1,0,0,0,1,1,1,0,3,0,7,1,1,1,3,1,0,0,0,1,1,0,16,0
1,1,1,0,1,2,2,0,3,1,0,0,0,1,0,1,0,1,2,0,0,2,3,1,3,0,0,0,2,0,0,2
0,0,1,2,0,5,1,0,2,2,0,2,1,0,191,1,2,0,1,1,1,0,1,0,1,19,2,0,1,1,2,0
0,2,0,2,0,2,1,1,0,0,0,1,3,1,1,0,1,0,1,1,13,1,2,1,2,0,1,0,3,0,0,1
0,0,3,2,1,1,2,0,3,1,3,1,1,1,4,0,0,1,0,0,0,4,2,0,1,0,1,1,1,1,3,0
0,1,2,0,1,0,0,1,0,0,1,2,1,0,1,2,1,1,0,1,1,2,4,0,1,0,6,1,0,0,0,10
2,0,0,0,0,2,0,0,2,1,0,3,1,1,1,1,0,0,1,1,3,2,0,1,2,2,1,1,1,3,1,0
0,0,1,1,0,1,4,2,5,0,1,0,0,1,0,0,0,0,1,1,4,0,0,1,1,0,1,1,0,0,0,6
0,0,0,0,1,2,0,0,1,1,0,0,1,1,1,2,2,0,0,1,0,0,0,0,0,15,2,2,3,0,3,0
1,0,2,2,0,3,0,1,2,1,1,0,1,0,2,2,1,1,0,0,0,1,25,0,3,0,7,0,2,0,0,3
2,0,0,2,1,0,0,0,5,4,10,2,0,2,0,1,2,0,1,2,1,2,8,0,0,1,0,0,0,0,1,1
1,0,1,0,0,2,0,1,1,1,0,1,1,0,0,3,5,5,2,2,1,3,1,1,0,6,1,2,2,1,0,0
2,1,1,0,1,0,0,0,1,2,1,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,1,1
2,1,1,0,0,3,0,0,1,0,0,1,1,0,1,2,1,1,0,0,0,0,2,1,3,1,5,0,1,1,1,31
0,1,0,0,0,0,2,0,1,0,1,1,2,0,0,3,1,0,0,4,1,1,0,0,0,18,1,2,0,0,1,3
0,3,2,1,1,2,1,0,0,0,0,2,0,2,1,0,1,2,0,1,1,0,0,2,1,0,1,2,1,0,1,1
0,1,0,2,1,1,0,1,1,2,1,1,1,2,1,1,1,0,2,0,10,0,0,0,0,1,0,0,1,0,0,0
2,2,0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,2,1,1,5,0,2,0,0,0,0,2,1,5,1,0
0,2,2,0,0,1,1,0,1,3,0,1,1,0,2,0,1,1,1,0,1,2,0,0,0,2,2,4,2,1,11,0
1,1,2,0,0,1,1,0,3,0,3,2,0,3,1,0,1,3,5,1,1,4,1,1,1,2,2,0,0,0,2,1
0,1,2,3,0,3,1,0,2,0,0,0,1,2,2,1,1,1,8,0,1,0,0,2,1,1,0,0,8,0,1,3
0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,2,1,2,0,0,0,0,2,1,1,3,1,2,0
1,1,3,2,0,1,1,0,0,0,1,1,0,0,1,2,2,3,1,1,2,0,2,2,2,0,359,84,0,0,1,5
2,1,1,1,0,9,1,2,3,2,2,3,3,0,4,0,0,1,0,0,3,1,1,2,1,0,3,1,0,0,0,7
0,1,0,1,0,0,2,0,1,2,1,0,1,0,0,0,0,4,2,1,0,0,0,2,42,2,0,1,2,0,1,7
2,1,4,1,0,0,0,1,2,1,1,1,1,2,1,0,1,0,1,0,1,0,1,0,2,1,1,3,1,0,2,2899
0,0,1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,1,10,0,3,0,0,2,1,0,1,9
0,3,1,2,3,3,0,1,1,0,7,1,0,1,3,1,0,2,1,1,1,1,0,4,2,0,1,2,0,1,1,1
1,0,3,0,1,2,1,1,2,1,1,3,1,1,2,5,0,0,0,0,2,3,1,0,0,1,4,1,1,1,1,0
1,3,1,2,2,0,2,1,4,4,0,23,2,0,1,0,0,2,2,0,1,0,3,1,5,1,1,1,1,1,2,4
0,2,0,0,2,1,2,2,1,1,3,0,0,2,0,1,2,1,0,1,3,1,1,0,1,2,0,2,0,1,1,0
2,0,1,1,1,1,0,1,5,0,0,3,0,0,0,1,1,2,1,0,0,9,1,0,0,0,6,2,0,1,0,1
2,1,2,0,1,0,0,1,0,0,4,3,0,6,0,0,1,0,1,1,3,0,1,2,0,0,0,0,0,0,0,0
2,1,0,0,0,1,2,2,2,2,2,0,1,0,0,3,0,1,1,0,0,2,0,0,0,1,0,7,0,1,7,4
