1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
1,0,0,8,0,1,4,1,0,1,0,2,1,5,2,1,2,2,0,9,1,0,0,2,0,0,1
0,4,24,1,5,0,3,3,2,0,0,1,1,10,0,1,7,0,2,0,0,3,0,1,3,0,2
0,0,1,4,0,0,2,2,0,0,4,2,0,0,0,0,1,1,2,4,1,1,0,2,0,1,22
1,0,1,1,30,0,9,0,1,2,0,0,1,1,17,1,1,1,4,6,1,20,1,0,0,0,2
6,0,1,10,2,0,0,0,2,0,1,1,2,1,0,4,14,0,1,0,2,0,1,3,0,0,0
1,2,1,1,2,2,0,1,2,0,6,1,9,2,0,4,0,1,1,0,0,3,0,0,1,2,4
0,7,3,0,0,1,1,0,2,13,2,8,0,0,1,0,1,3,14,0,1,4,1,0,0,1,1
0,4,22,9,0,1,0,2,4,0,0,2,10,2,2,3,0,3,0,0,3,1,0,1,0,1,3
1,1,1,15,1,1,0,0,3,3,0,0,0,1,1,1,0,6,0,0,0,0,0,2,0,73,0
1,2,1,0,0,2,1,69,0,2,0,1,1,6,1,1,0,0,0,1,2,7,0,2,1,1,0
0,182,1,2,0,0,0,2,23,0,0,1,2,0,2,3,0,0,1,1,5,3,0,1,1,0,1
3,1,1,2,1,1,2,0,2,0,18,0,0,3,0,1,1,0,2,2,1,4,1,2,0,0,0
0,10,1,1,2,0,1,1,2,1,0,1,3,1,3,1,1,2,4,1,0,0,0,0,1,0,4
1,1,5,1,0,2,0,6,1,10,0,1,0,0,1,2,0,2,3,0,0,0,1,1,19,1,29
2,2,1,1,0,3,0,0,0,2,0,0,17,2,0,0,0,8,8,0,0,2,1,3,2,5,0
0,1,2,0,0,1,4,3,30,3,0,0,0,0,11,0,0,0,1,2,3,0,1,0,1,2,2
0,0,1,0,1,0,4,2,1,2,0,0,2,0,1,0,1,1,1,0,0,2,0,0,1,0,1
11,0,50,0,8,2,0,3,2,0,1,1,0,2,0,0,1,1,1,0,14,0,1,0,0,9,0
0,0,4,2,1,1,0,2,3,0,2,1,0,1,0,3,0,0,0,1,1,0,0,0,1,2,0
0,1,2,1,0,4,0,5,1,15,1,0,0,6,1,1,2,0,1,2,0,0,2,2,0,2,7
5,2,1,1,1,1,21,1,0,0,0,4,0,1,4,1,1,3,1,0,0,3,0,0,0,0,0
0,2,1,0,1,0,0,3,1,0,4,0,0,10,1,0,0,0,0,1,0,2,0,0,1,0,2
0,0,0,0,1,2,0,0,3,1,0,1,3,0,1,1,2,3,0,0,0,4,1,0,0,2,1
13,3,2,1,0,0,14,1,1,1,8,1,0,1,1,7,3,0,1,0,2,0,0,1,1,2,4
1,0,2,0,2,5,1,4,2,2,0,5,0,0,2,0,0,5,0,0,2,0,1,0,0,1,0
0,13,2,1,0,1,4,0,0,3,2,1,1,0,0,1,0,0,0,0,0,1,0,19,1,0,0
0,0,1,2,0,4,2,6,4,2,10,39,5,0,2,0,6,0,2,0,0,0,2,2,0,0,0
0,0,4,1,0,2,14,0,0,1,1,0,7,0,0,0,1,2,0,18,0,2,0,4,0,6,0
1,1,0,1,1,2,2,1,0,1,0,0,4,0,0,1,1,5,0,0,0,1,1,15,0,0,0
0,1,114,0,0,4,0,1,0,1,0,2,1,10,0,1,1,0,1,0,0,3,0,0,3,0,4
1,1,0,0,3,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,0
0,3,67,8,0,0,0,7,0,0,1,3,1,5,1,30,1,1,1,0,0,0,11,0,2,0,0
0,1,1,1,0,0,0,6,5,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,4
0,1,0,0,0,0,1,0,4,1,0,3,7,1,0,2,0,1,0,1,1,4,0,1,0,1,3
10,2,1,0,0,2,0,6,1,1,0,0,0,0,3,4,1,0,2,3,33,3,1,1,0,0,1
0,0,0,0,0,0,2,2,0,1,0,0,1,0,4,0,1,1,0,1,0,0,0,1,1,11,1
61,0,2,0,0,0,0,0,15,1,0,1,0,0,1,2,0,1,0,0,26,0,2,1,0,3,0
1,1,2,1,1,2,3,1,1,0,4,85,33,0,4,0,0,1,0,6,2,1,0,1,1,0,2
