1,2,3,4,p
1,3,2,1,1
12,2,0,3,1
0,0,0,0,0
1,1,3,0,0
1,16,42,0,1
8,230,5,1,0
1,14,0,18,2
0,2,1,0,1
0,2,13,0,0
1,0,13,7,1
9,1,6,0,1
4,0,1,1,1
1,6,6,3,2
0,2,5,0,2
1,0,0,2,3
2,0,12,133,4
1,8,430,1,10
1,0,0,18,1
1,0,2,31,2
0,0,1,0,9
30,0,24,10,0
18,1,0,1,2
0,7,0,0,2
0,7,4,0,1
1,1,4,0,4
2,0,1,0,0
3,0,0,0,5
0,1,1,11,6
0,3,0,1,1
4,0,1,0,3
240,11,1,1,11
0,841,3,0,0
0,5,0,0,3
0,10,2,0,23
2,21,86,2,2
9,0,4,0,0
0,1,0,0,0
1,13,17,3,7
0,6,0,2,1
1,3,1,0,1
3,0,0,0,8
2,0,3,19,0
0,0,10,0,0
0,3,2,1,7
7,2,20,2,3
20,62,4,4,0
0,0,6,17,0
7,1,2,2,3
0,3,1,3,0
11,0,4,0,1
0,0,0,9,0
2,4,0,4,1
0,0,0,0,0
636,2,12,2,2
0,12,0,0,1
0,1,3,1,3
2,0,0,2,0
284,3,33,1,0
448,0,0,0,7
6,0,0,4,0
15,2,144,15,1
3,3,5,3,0
1,1,0,4,2
0,0,2,12,2
2,1,3,0,2
1,1,16,31,2
16,15,0,0,3
0,0,0,1,0
30,0,8,0,3
0,10,9,17,2
0,0,4,5,0
1,4,4,0,0
5,1,2,2,1
0,2,0,5,2
0,28,0,1,1
0,0,7,2,2
1,0,2,27,1
0,9,5,0,0
0,0,0,0,0
21,0,0,0,10
0,2,0,3,43
1,5,69,0,8
0,1,0,23,0
1,0,90,2,0
6,2,3,9,2
4,0,3,0,2
0,0,482,0,1
0,0,1,15,1
0,0,78,0,3
0,4,5,4,0
9,0,1,0,0
0,2,2,0,53
7,0,2,3,4
3,1,0,0,2
0,7,1,2,0
0,133,0,4,3
1,1,0,5,0
21,0,2,0,3
3,3,1,1,1
0,0,14,9,2
50,3,0,13,4
2,20,1,0,3
0,0,0,1,0
4,0,0,3,0
1,50,0,0,11
1,0,14,2,1
5,1,8,0,0
3,0,2,5,0
1,0,83,4,0
1,121,0,0,21
442,9,0,1,3
0,57,10,0,0
2,6,1,0,2
4,29,0,10,0
0,9,0,12,85
1,28,4,1,2
5,0,0,2,0
1,9,1,1,4
16,13,0,62,170
0,0,2,12,8
0,0,0,2,1
0,0,0,1,0
0,1,8,13,0
0,9,1,4,0
47,2,16,2,2
0,0,88,1,9
1,0,9,0,4
0,1,0,10,0
0,1,0,0,2
1,2,2,3,0
0,1,0,0,0
7,3,0,2,0
3,0,3,1,0
1,1,1,3,3
4,0,0,1,1
0,0,0,4,7
14,12,1,3,3
0,0,0,0,4
2,0,0,0,0
0,5,1,191,1
0,27,5,0,1
0,0,0,1,0
0,4,0,1,1
0,4,1,3,2
0,5,0,0,0
4,0,0,95,6
6,61,6,1,2
1,0,3,0,0
0,1,0,99,0
27,9,0,4,13
28,3,11,14,4
3,2,49,8,0
0,97,0,1,1
0,8,0,0,0
5,6,6,12,0
2,6,2,16,2
17,0,0,0,6
3,1,478,5,2
0,0,0,88,7
5,82,1,0,0
9,3,1,1,1
2,16,0,4,2
0,197,0,0,3
0,3,0,2,0
1,16,21,0,0
2,37,0,0,3
0,4,1,0,10
1,10,0,7,14
3,6042,2,0,0
0,9,13,8,2
3,0,0,1,2
0,7,0,14,0
0,0,0,4,9
0,9,12,2,3
0,12,8,1,2
14,2,0,0,1
23,5,0,1,0
8,10,0,4,15
24,1,32,3,45
2,1,3,158,1
1,16,1,0,1
0,1,3,0,0
0,0,0,1,11
2,5,3,2,0
0,0,0,0,1
0,0,0,0,4
36,3,32,0,0
0,0,10,2,0
0,0,1,3,1
3,2,7,0,1
0,0,4,0,1
16,794,57,0,0
0,0,1,5,0
1,62,10,5,1
4,0,0,20,5
18,3,97,28,0
0,0,1,4,2
0,3,3,0,0
10,7,3,7,0
0,0,0,4,1
42,1,0,7,0
0,1,3,7,0
0,0,4,0,6
507,0,0,0,5
0,3,0,1,1
1,23,19,0,0
8,1,539,2,0
5,2,35,2,3
0,0,0,0,1
16,107,0,4,0
26,4,2,0,3
23,0,0,4,0
0,6,0,15,1
2,14,3,1,3
