1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
1,1,48,1,11,1,0,7,1,9,0,0,0,0,1,0,6,0,0,2,0,0,3,0,1,0,13,1,2,3,1,0
0,0,0,0,4,0,0,2,1,20,0,2,0,2,1,2,1,2,3,2,1,1,4,3,0,1,2,0,3,1,0,18
0,0,0,12,1,3,2,0,6,2,1,4,0,4,0,0,0,0,0,2,0,2,1,0,1,0,0,1,1,2,1,0
2,2,0,2,1,10,9,94,1,19,1,3,3,0,0,1,0,0,3,3,29,0,0,1,2,2,7,0,1,1,0,0
0,0,1,0,0,0,1,0,0,1,1,2,52,0,23,7,2,0,3,1,1,1,1,1,0,0,0,0,0,1,3,16
20,0,1,12,155,3,1,1,0,12,1,18,0,0,0,7,2,0,0,1,4,0,1,1,0,0,1,1,3,1,2,0
1,0,0,0,2,0,0,1,5,0,366,32,87,0,1,0,0,1,0,0,1,24,1,0,1,0,1,0,1,3,1,6
15,8,36,0,4,1,0,26,0,0,95,0,0,0,0,1,4,0,4,1,15,1,4,1,2,0,7,0,3,1,1,0
12,1,0,0,5,1,1,1,0,2,0,0,0,0,1,5,22,2,0,0,4,0,17,0,0,2,11,2,1,1,1,0
13,0,0,12,0,0,1,13,5,0,6,12,0,24,13,0,48,1,7,2296,2,2,1,1,0,1,1,1,2,1,3,0
0,0,2,0,1,0,1,5,3,0,0,0,15,2,0,0,1,1,1,0,12,0,14,0,1,1,0,1,1,1,0,0
0,1,0,0,0,5,1,42,4,4,15,0,0,2,0,2,0,11,3,0,0,0,0,0,1,4,0,2,0,11,1,12
0,2,1,0,3,0,1,0,9,29,0,1,1,4,1,0,0,0,16,13,6,0,0,0,2,0,2,2,1,2,2,4
2,0,0,5,4,0,0,0,2,0,2,1,20,0,1,3,1,1,1,1,1,4,1,0,2,0,0,0,1,0,1,1
0,5,0,1,0,0,4,15,1,1,4,44,0,1,5,2,1,1,1,1,2,0,1,3,3,1,0,2,0,2,0,0
1,4,0,0,2,2,2,2,0,3,1,0,0,0,0,1,1,1,0,4,6,3,1,1,0,1,0,1,0,1,1,4
0,1,0,5,8,5,0,0,0,1,3,1,2,1,36,1,1,0,0,2,0,1,0,1,1,1,0,1,3,1,1,54
5,9,4,0,1,2,4,0,0,0,2,1,3,0,11,0,1,3,0,7,0,1,3,1,0,0,4,1,4,1,2,19
0,11,0,0,1,3,0,0,10,0,0,0,1,1,1,2,0,2,14,7,4,1,1,1,0,3,1,0,1,0,1,3
0,2,0,0,6,5,0,1,0,1,11,71,46,1,0,2,0,163,0,0,1,0,5,2,0,1,0,2,0,0,4,4
0,8,0,1,7,0,1,2,2,1,7,3,2,5,0,0,457,1,0,3,1,0,0,0,1,1,0,1,5,1,1,6
0,0,3,6,15,7,0,0,0,10,0,1,2,0,0,0,8,0,0,1,1,22,2,0,0,2,0,7,0,7,0,0
0,1,1,1,5,13,0,1,1,2,1417,0,1,0,5,2,2,0,5,1,1,2,0,0,4,0,2,1,0,0,1,0
1,0,3,0,0,2,4,5,1,0,1,2,144,0,0,11,3,9,15,1,5,3,5,1,18,6,3,3,0,1,2,1
26,1,2,0,19,6,1,8,0,0,0,0,0,4,20,5,1,3,1,125,0,1,4,0,4,1,0,0,0,1,4,5
