1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
14,11,11,3,1,0,1,1,0,2,3,12,0,2,0,2,0,0,0,1,0,0
0,11,3,1,0,1,0,2,0,2,1,1,2,3,0,0,1,1,0,1,0,0
7,0,47,3,3,0,0,0,14,0,3,27,0,0,7,1,1,0,0,0,0,0
0,14,1,12,5,0,10,0,0,103,3,2,14,1,1,5,6,9,3,18,4,0
0,0,0,4,535,7,0,2,2,0,1,0,16,3,0,5,0,5,0,18,0,0
5,1,1,12,3,2,1,0,1,6,1,0,17,0,100,0,0,1,5,6,3,9
8,5,2,0,0,1,0,3,1,0,0,0,2,0,0,1,5,0,0,8,0,0
3,5,4,567,0,0,24,0,5,0,1,0,0,11,9,11,1,5,0,0,0,3
2,1,0,2,1,1,11,4,0,0,1,9,0,2,0,0,0,1,6,0,22,0
1,1,2,1,0,4,0,0,149,0,1,0,0,1,52,2,0,0,0,3,26,1
0,11,0,0,14,0,0,6,1,3,22,1,0,0,0,0,0,0,1,1,0,0
3,2,0,0,0,6,0,0,4,14,33,0,6,2,0,0,2,2,21,38,0,9
13,2,0,0,0,1,3,0,4,3,0,0,30,0,26,0,7,5,3,4,1,2
0,0,3,1,1,8,3,29,0,19,0,10,0,4,0,69,17,0,16,19,1,0
45,3,4,1,0,1,8,5,0,4,0,72,3,0,7,0,1,0,1,3,1,4
5,1,2,11,2,0,1,0,3,1,0,1,6,2,0,3,0,1,7,1,0,0
1,1,1,0,0,2,1,2,2,0,7,0,1,0,0,2,4,0,0,0,1,7
1,219,1,2,0,4,3,0,2,1,3,0,8,0,0,0,6,0,0,2,5,0
0,10,3,4,1,0,1,12,0,37,0,2,2,2,4,0,2,0,0,2,0,2
0,1,0,0,11,0,107,2,11,0,0,34,0,4,13,15,2,5,0,14,0,2
0,0,7,247,1,0,0,1,1,1,0,1,26,0,1,0,0,1,0,1,5,0
1,1,0,0,11,0,3,1,5,0,3,0,0,1,0,0,0,0,3,0,2,0
21,3,2,19,3,4,19,0,1,5,5,0,1,25,4,5,0,0,48,3,0,0
0,1,0,1,4,4,1,5,4,4,2,0,2,3,7,1,5,0,2,0,1,4
4,0,17,0,0,3,0,1,2,9,4,0,0,0,0,0,25,2,6,0,17,4
14,0,1,1,0,3,0,0,0,2,6,1,0,4,1,0,0,1,4,0,0,0
5,2,0,0,0,1,4,1,2,1,2,5,0,19,2,6,0,2,3,2,3,6
4,2,0,0,1,239,0,0,4,1,0,1,0,1,4,1,2,0,4,0,1,8
